segment_id,acc_total,pred_risk_level,risk_score,risk_pct
38000,0,2,0.541483111679554,54.1
38001,0,0,0.3159020021557808,31.6
38002,0,2,0.6695211332989857,67.0
38003,0,2,0.6685438852679605,66.9
38004,0,2,0.6692024150397629,66.9
38005,0,2,0.6687786186424395,66.9
38006,0,2,0.6701447209731365,67.0
38007,0,2,0.6699697157212844,67.0
38008,0,2,0.6661467688390985,66.6
38009,0,2,0.666785417823121,66.7
38010,0,2,0.6689757233252749,66.9
38011,0,2,0.666219381421494,66.6
38012,0,2,0.6460245798031489,64.6
38013,0,2,0.6656174700086316,66.6
38014,0,2,0.5266855843365192,52.7
38015,0,2,0.6230918889244398,62.3
38016,0,0,0.1814457637568315,18.1
38017,0,2,0.6630545249208808,66.3
38018,0,2,0.6696600692812353,67.0
38019,0,2,0.6674303354229778,66.7
38020,0,2,0.6676588052262863,66.8
38021,0,2,0.6699697157212844,67.0
38022,0,2,0.6677183120433862,66.8
38023,0,2,0.6707706082379445,67.1
38024,0,2,0.6037561732033888,60.4
38025,0,2,0.6689757233252749,66.9
38026,0,2,0.6678007351389775,66.8
38027,0,2,0.6716440385983636,67.2
38028,0,2,0.6662534632099172,66.6
38029,0,2,0.6626293864101171,66.3
38030,0,2,0.6680708399896199,66.8
38031,0,2,0.6699697157212844,67.0
38032,0,2,0.670325476443395,67.0
38033,0,2,0.6703720575897023,67.0
38034,0,2,0.6701447209731365,67.0
38035,0,2,0.6707706082379445,67.1
38036,0,2,0.6691009262576699,66.9
38037,0,2,0.670325476443395,67.0
38038,0,2,0.6678882338649904,66.8
38039,0,2,0.6689757233252749,66.9
38040,0,2,0.669628281185093,67.0
38041,0,2,0.6688417182692016,66.9
38042,0,2,0.6700330541158716,67.0
38043,0,2,0.6689757233252749,66.9
38044,0,2,0.6699697157212844,67.0
38045,0,2,0.4004186491171519,40.0
38046,0,2,0.6701447209731365,67.0
38047,0,2,0.6601833095774055,66.0
38048,0,2,0.665603807157216,66.6
38049,0,2,0.6352722185353438,63.5
38050,0,2,0.6621472663246095,66.2
38051,0,2,0.6608146807799736,66.1
38052,0,2,0.6550223166123033,65.5
38053,0,2,0.6621354205999523,66.2
38054,0,2,0.6652897648358097,66.5
38055,0,2,0.6657101943080003,66.6
38056,0,2,0.5822410186131796,58.2
38057,0,2,0.6659959876754632,66.6
38058,0,2,0.6582731734961271,65.8
38059,0,2,0.6660454412146161,66.6
38060,0,2,0.6659927053842694,66.6
38061,0,2,0.6659700607415289,66.6
38062,0,2,0.6615817762600879,66.2
38063,0,2,0.5782536541422209,57.8
38064,0,2,0.6694326049182564,66.9
38065,0,2,0.6679969393492987,66.8
38066,0,2,0.670084213023074,67.0
38067,0,2,0.6644925788665811,66.4
38068,0,2,0.6626740718881289,66.3
38069,0,2,0.6691143083153293,66.9
38070,0,2,0.6670976794557646,66.7
38071,0,2,0.6698626138580343,67.0
38072,0,2,0.6665119340177625,66.7
38073,0,2,0.6669035297818482,66.7
38074,0,2,0.6671961885100851,66.7
38075,0,2,0.6675946543303629,66.8
38076,0,2,0.6706553453501934,67.1
38077,0,2,0.66954015478647,67.0
38078,0,2,0.66885286627803,66.9
38079,0,2,0.6697516769248372,67.0
38080,0,2,0.6707633404294029,67.1
38081,0,2,0.6697465669907009,67.0
38082,0,2,0.6697465669907009,67.0
38083,0,2,0.6684766185159484,66.8
38084,0,2,0.6688761198505139,66.9
38085,0,2,0.666689718569008,66.7
38086,0,2,0.6680289168919747,66.8
38087,0,2,0.6687660516084483,66.9
38088,0,2,0.6694401328762373,66.9
38089,0,2,0.6706797847679505,67.1
38090,0,2,0.6707633404294029,67.1
38091,0,2,0.6696886377952372,67.0
38092,0,2,0.67038202972617,67.0
38093,0,2,0.6700143647224953,67.0
38094,0,2,0.6707633404294029,67.1
38095,0,2,0.6700143647224953,67.0
38096,0,2,0.6698108723309512,67.0
38097,0,2,0.6703883200728645,67.0
38098,0,2,0.6690830332227051,66.9
38099,0,2,0.6687786186424395,66.9
38100,0,2,0.6693760007619858,66.9
38101,0,2,0.6687786186424395,66.9
38102,0,2,0.6696600692812353,67.0
38103,0,2,0.6682981783912206,66.8
38104,0,2,0.6675100797632089,66.8
38105,0,2,0.6622940950716535,66.2
38106,0,2,0.666785417823121,66.7
38107,0,2,0.6668999941709141,66.7
38108,0,2,0.6667582410930967,66.7
38109,0,2,0.6663406931329519,66.6
38110,0,2,0.6679305208381265,66.8
38111,0,2,0.6671471518541997,66.7
38112,0,2,0.664720925114428,66.5
38113,0,2,0.6684703362795213,66.8
38114,0,2,0.6696181954272712,67.0
38115,0,2,0.6681416006370758,66.8
38116,0,2,0.6697747374807174,67.0
38117,0,2,0.6694546185511475,66.9
38118,0,2,0.6678199587234607,66.8
38119,0,2,0.6679279612920558,66.8
38120,0,2,0.6679279612920558,66.8
